Molecule,SMILES,Global: Rot Bonds,Csp2 Count,Fsp3 Count,Osp2 Count,Osp3 Count,Hs Count,Csp2-Fsp3,Global: Single,Fsp3-Csp2,Osp2=Csp2,Global: Double,Hs-Osp3,Osp2=Osp2,Osp3-Hs,Csp3 Count,Csp3-Hs,Fsp3-Csp3,Csp3-Fsp3,Csp3-Csp3,Csp2=Osp2,Csp2-Osp2,Csp2-Hs,Hs-Osp2,H-Osp2-Csp2-O Torsional Axes,H-Csp2-Osp2-H Torsional Axes,Global: Torsional Axes,Osp2-Hs,Osp2-Csp2,F-Csp2-Osp2-H Torsional Axes,Csp3-Csp2,Csp2=Csp2,F-Csp2-Csp3-F Torsional Axes,C-Csp2-Csp3-F Torsional Axes,Csp Count,Csp=Osp2,F-Csp3-Csp3-F Torsional Axes,F-Csp3-Csp3-H Torsional Axes,Fsp3-Hs,F-Csp3-Csp2-O Torsional Axes,C-Csp2-Osp2-H Torsional Axes,Csp2-Csp3,Csp3-Osp3,Osp3-Osp3,F-Csp3-Csp3-O Torsional Axes,C-Csp3-Csp3-F Torsional Axes,F-Csp3-Osp3-H Torsional Axes,Csp3-Osp2,Osp3-Csp3,Hs-Csp3,Csp=Csp2,a0,a1,a2,a3,a4,H_f_0K,S_300K 
f,[F],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9682,0.0,0.0,0.0,0.0,18.47,36.176
cbutane,FC1(F)C(F)(F)C(F)(F)C1(F)F,0,0,8,0,0,0,0,12,0,0,0,0,0,0,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2333,0.14106,-0.00013679,6.14e-08,-1.04e-11,-370.51,96.448287
cfho,O=CF,0,1,1,1,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9136,0.018727,-8.94e-06,1.26e-09,1.18e-13,-199.45,58.965
ch2F,[CH2]F,0,0,1,0,0,2,0,3,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0.01476,-6.5e-06,1.08e-09,2.83e-15,-134.46,56.413
propene,FC(F)=C(F)C(F)(F)F,0,2,6,0,0,0,2,7,1,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,6,0,0,0,0,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.3689,0.09903,-9.65e-05,4.37e-08,-7.48e-12,-264.42,89.765305
c2f5,F[C](F)C(F)(F)F,0,0,5,0,0,0,0,6,0,0,0,0,0,0,2,0,2,3,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8156,0.073558,-7.11e-05,3.18e-08,-5.36e-12,-213.0,81.437321
c3f6o2_ring,FC(F)(F)[C@@]1(F)OOC1(F)F,0,0,6,0,2,0,0,11,0,0,0,0,0,0,3,0,3,3,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,3,3,0,0,0,0,0,4.2387,0.13347,-0.00013031,5.87e-08,-9.98e-12,0.0,95.386
co,[C]=O,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1988,-0.0022294,5.64e-06,-3.46e-09,6.85e-13,-27.2,47.228
cf4,FC(F)(F)F,0,0,4,0,0,0,0,4,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1845,0.056239,-5.59e-05,2.55e-08,-4.39e-12,-221.71,62.561
cf2o,O=C(F)F,0,1,2,1,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5356,0.033932,-3.07e-05,1.32e-08,-2.16e-12,-144.2,61.794995
cf3oh,OC(F)(F)F,0,0,3,0,1,1,0,5,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,2.5913,0.063256,-6.19e-05,2.85e-08,-4.94e-12,-211.99,69.302
tfcof,O=C(F)C(F)(F)F,0,1,4,1,0,0,1,5,0,0,1,0,0,0,1,0,0,3,0,1,0,0,0,0,0,6,0,0,0,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5.1967,0.073193,-7.0524e-05,3.168e-08,-5.3945e-12,0.0,79.91
lactone,O=C1OC1(F)F,0,1,2,2,0,0,0,5,0,1,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3.2354,0.064148,-6.22e-05,2.82e-08,-4.84e-12,-139.22,71.645
c3f6o,FC(F)(F)[C@@]1(F)OC1(F)F,0,0,6,0,1,0,0,10,0,0,0,0,0,0,3,0,2,4,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,2,0,0,4.2664,0.11981,-0.00011762,5.33e-08,-9.12e-12,-337.64,91.474
oh,[OH],0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.075,-0.00071119,9.5e-07,-2.55e-11,-7.49e-14,8.91,42.602
cf3,F[C](F)F,0,0,3,0,0,0,0,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5673,0.037178,-3.56e-05,1.57e-08,-2.64e-12,-111.17,65.368433
epoxide,FC1(F)OC1(F)F,0,0,4,0,1,0,0,7,0,0,0,0,0,0,2,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.7566,0.081434,-7.99e-05,3.63e-08,-6.21e-12,-230.5,76.054
cf2_h2o_ts_react,F[C]F.O,0,0,2,0,1,2,0,4,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.805,0.024927,-2.07e-05,9.06e-09,-1.56e-12,-104.47,81.788
c3f8,FC(F)(F)C(F)(F)C(F)(F)F,0,0,8,0,0,0,0,10,0,0,0,0,0,0,3,0,4,4,2,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1.9759,0.054518,-1.01e-05,-6.9e-09,2.45e-12,-418.32,64.110605
2_propyl,F[C](C(F)(F)F)C(F)(F)F,0,0,7,0,0,0,0,9,0,0,0,0,0,0,3,0,4,3,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7.8084,0.11084,-0.00010769,4.83e-08,-8.17e-12,-318.55,99.051
ethane1H,FC(F)C(F)(F)F,0,0,5,0,0,1,0,7,0,0,0,0,0,0,2,0,2,3,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,1,0,4.1197,0.080406,-7.22e-05,3.07e-08,-5.01e-12,-263.33,79.748
cf3co,O=[C]C(F)(F)F,0,1,3,1,0,0,0,4,0,0,1,0,0,0,1,0,1,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,5.8249,0.059384,-5.84e-05,2.68e-08,-4.64e-12,-147.16,77.255
c2f6,FC(F)(F)C(F)(F)F,0,0,6,0,0,0,0,7,0,0,0,0,0,0,2,0,3,3,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4745,0.092686,-9.19e-05,4.2e-08,-7.22e-12,-320.02,79.457408
tfal,O=C(F)C(F)(F)F,0,1,4,1,0,0,1,5,0,0,1,0,0,0,1,0,2,1,0,1,0,0,0,0,0,6,0,0,0,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5.1988,0.073197,-7.05e-05,3.17e-08,-5.39e-12,-248.11,79.943
2_butene,F/C(=C(/F)C(F)(F)F)C(F)(F)F,0,2,8,0,0,0,2,10,0,0,1,0,0,0,2,0,3,3,0,0,0,0,0,0,0,12,0,0,0,0,1,6,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7.1603,0.14015,-0.00013764,6.26e-08,-1.07e-11,-379.88,106.06
allene,FC(F)=C=C(F)F,0,2,4,0,0,0,2,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6.1059,0.069647,-6.67e-05,3e-08,-5.12e-12,-119.08,81.873
